Öğrenci No;Cinsiyet;Doğum Yılı;Okul Türü;Sınıf Düzeyi;Baba Mesleği;Baba Eğitim Düzeyi;Anne Mesleği;Anne Eğitim Düzeyi;Kardeş Sayısı;Kitap Sayısı;Evde Bilgisayar;Evde İnternet;Evde Çalışma Odası;Sınıf 9 Notu;Sınıf 10 Notu;Sınıf 11 Notu;Not Ortalaması aps;Ders Dinleme Önemi;Ders Çalışma Önemi;Ödev Yapma Önemi;Okul Kursu Önemi;Özel Ders Sıklığı;Drsn Fizik Sıklığı;Drsn ÖSS Sıklığı;En sevilen konu;lsi11;lsi12;lsi13;lsi14;lsi21;lsi22;lsi23;lsi24;lsi31;lsi32;lsi33;lsi34;lsi41;lsi42;lsi43;lsi44;lsi51;lsi52;lsi53;lsi54;lsi61;lsi62;lsi63;lsi64;lsi71;lsi72;lsi73;lsi74;lsi81;lsi82;lsi83;lsi84;lsi91;lsi92;lsi93;lsi94;lsi101;lsi102;lsi103;lsi104;lsi111;lsi112;lsi113;lsi114;lsi121;lsi122;lsi123;lsi124;pas1;pas2;pas3;pas4;pas5;pas6;pas7;pas8;pas9;pas10;pas11;pas12;pas13;pas14;pas15;pas16;pas17;pas18;pas19;pas20;pas21;pas22;pas23;pas24;pas25;pas26;pas27;pas28;pas29;pas30;pas31;pas32;pas33;pas34;pas35;pas36;pas37;pas38;pas39;pas40;a1;a2;a3;a4;a5;a6;b1;b2;b3;b4;b5;b6;b7;b8;b9;b10;b11;b12;b13;b14;b15;b16;b17;b18;b19;b20;b21;b22;b23;c1;c2;c3;c4;c5;c6;c7;c8;c9;c10;c11;c12;CE;RO;AC;AE;CE-AC;RO-AE;lst;pass
1-100;1;92;3;9;12;2;12;2;0;2;1;1;1;3;;;3;1;1;1;3;1;1;1;6;3;1;2;4;4;2;3;1;1;4;3;2;2;1;3;4;1;3;4;2;1;3;4;2;1;2;4;3;3;1;2;4;2;1;3;4;1;2;4;3;2;3;4;1;4;3;2;1;3;3;2;4;2;2;2;4;3;2;2;2;2;2;4;2;5;3;4;2;5;3;4;3;5;4;5;2;3;2;3;3;3;2;2;4;3;1;4;3;2;2;3;2;3;2;2;2;2;4;3;4;4;2;3;1;3;2;2;2;3;3;3;4;4;2;4;3;4;3;3;4;4;3;3;4;4;3;4;4;4;25;26;38;31;-13;-5;3;27
1-102;2;92;3;9;12;3;14;2;2;2;1;1;1;2;;;2;1;2;1;3;1;1;1;6;3;1;4;2;1;2;4;3;2;1;3;4;2;1;4;3;43;1;2;3;4;2;1;1;2;4;3;3;1;2;4;1;2;4;3;2;1;3;4;1;4;3;2;1;4;2;3;3;3;4;2;2;4;1;2;3;3;5;3;1;1;1;2;2;3;3;4;3;5;4;4;1;4;4;4;3;1;1;2;2;3;3;1;1;3;1;3;1;1;1;1;1;4;1;1;1;3;1;4;4;4;2;3;2;3;1;1;1;3;3;3;3;4;1;4;4;3;3;1;1;3;1;3;3;3;1;1;4;4;69;26;37;27;32;-1;2;11
1-103;2;92;3;9;11;5;14;2;2;3;0;0;1;2;;;2;1;1;1;1;1;1;1;6;2;4;3;1;4;3;2;1;2;1;4;3;2;1;4;3;3;4;2;1;4;2;3;1;2;1;3;4;1;4;2;3;4;1;3;2;3;1;4;2;4;1;2;3;4;1;2;3;4;4;2;2;2;2;4;4;3;4;4;3;3;2;3;2;3;3;5;2;5;3;3;2;3;2;2;2;2;2;3;3;1;3;2;2;3;2;3;3;1;1;1;4;3;1;1;1;3;3;4;4;4;3;3;1;3;1;1;1;3;2;3;1;3;1;3;4;3;3;1;2;3;3;1;4;3;3;1;3;3;35;24;34;27;1;-3;2;8
1-105;1;92;3;9;12;4;12;3;1;3;1;1;1;3;;;3;1;2;1;2;1;1;1;6;1;4;2;3;1;2;4;3;1;2;3;4;1;2;3;4;1;3;4;2;2;1;4;3;2;1;3;4;1;2;3;4;3;1;4;2;3;1;4;2;3;1;2;4;2;4;3;1;3;3;2;3;4;2;1;4;4;3;2;3;4;2;2;2;4;3;4;2;4;3;4;3;4;4;4;4;2;2;3;3;1;1;2;3;4;1;3;1;1;2;4;3;3;2;1;1;2;4;3;4;4;2;4;1;2;4;1;2;2;3;2;3;4;1;4;4;4;2;4;4;3;4;2;4;4;1;1;3;3;21;24;39;36;-18;-12;3;31
1-106;2;92;3;9;15;3;14;2;3;1;1;1;1;1;;;1;1;1;1;3;1;1;2;;2;4;3;1;1;4;3;2;2;4;1;3;1;2;4;3;4;2;1;3;3;4;2;1;2;4;3;1;2;1;3;4;1;2;4;3;4;3;2;1;2;4;3;1;3;4;2;1;3;4;2;2;3;2;3;4;2;3;4;2;2;2;2;2;4;3;4;4;4;4;3;2;3;3;4;4;3;2;3;2;4;3;2;2;5;3;3;2;1;1;3;2;3;1;1;1;1;2;3;4;4;2;3;2;4;2;2;2;3;3;3;3;4;1;4;4;4;3;2;4;4;4;3;4;4;3;3;4;4;27;38;31;24;-4;14;4;0
1-107;1;92;3;9;13;4;14;4;1;3;1;1;1;4;;;4;1;2;1;2;1;1;1;12;1;2;3;4;1;2;4;3;2;1;4;3;1;2;3;4;1;2;4;3;2;1;3;4;1;2;4;3;1;2;3;4;1;2;4;3;1;2;4;3;1;2;3;4;1;4;2;3;1;2;1;5;4;2;1;4;4;2;2;4;5;2;2;5;4;3;4;2;4;2;5;5;5;5;4;4;1;2;4;4;2;1;4;4;2;1;4;2;1;1;3;2;3;1;1;1;1;3;2;4;4;1;3;1;3;1;1;1;3;3;3;4;4;1;4;4;4;2;2;3;2;2;2;3;1;2;1;2;1;14;24;41;41;-27;-17;3;56
1-108;1;92;3;9;15;3;14;2;1;3;1;1;1;3;;;3;1;2;2;3;1;1;1;12;1;4;3;2;1;4;2;3;2;4;3;1;1;4;2;3;3;4;2;1;3;2;4;1;1;4;2;3;1;4;2;3;1;3;2;4;1;4;3;2;4;2;3;1;3;4;1;2;2;2;3;4;5;1;1;4;4;2;4;3;4;1;3;5;3;3;4;1;4;3;4;3;4;5;4;2;1;1;4;3;2;1;4;4;3;1;5;2;1;1;3;2;4;1;1;1;1;3;4;4;4;2;3;1;4;3;2;2;1;3;1;2;4;1;4;4;2;3;3;3;3;4;4;4;4;4;4;4;4;22;43;29;26;-7;17;4;47
1-109;2;92;3;9;12;4;14;3;2;3;1;1;1;3;;;3;1;1;1;2;1;1;1;7;1;4;3;2;1;4;2;3;4;2;3;1;1;2;3;4;2;3;4;1;1;4;2;3;3;2;1;4;2;1;4;3;1;4;2;3;4;1;2;3;3;2;1;4;1;3;4;2;1;3;1;4;5;1;1;3;5;1;2;1;3;2;1;4;5;5;5;1;4;2;5;3;5;5;5;2;1;3;4;5;1;1;4;4;1;1;5;1;1;2;1;1;2;1;1;1;2;3;3;4;4;2;2;2;4;1;2;1;3;3;3;2;4;1;4;2;3;2;3;1;2;2;1;3;2;1;1;3;2;24;32;31;33;-7;-1;3;62
1-110;2;92;3;9;13;4;14;4;2;4;1;1;1;2;;;2;1;1;1;2;1;1;1;6;1;2;3;4;1;4;2;3;2;1;4;3;1;2;3;4;3;1;4;2;1;4;2;3;1;3;2;4;1;4;2;3;1;3;2;4;2;1;4;3;2;1;3;4;3;4;2;1;1;2;1;1;5;1;1;5;3;2;4;1;2;2;2;1;5;5;5;1;5;3;4;2;4;5;5;1;1;1;5;5;3;1;1;1;2;1;5;2;1;1;1;2;3;1;1;1;1;1;1;4;4;3;1;1;3;1;1;1;3;3;3;4;4;1;4;4;4;3;4;1;4;1;1;4;4;2;1;3;4;19;30;33;38;-14;-8;3;43
1-112;1;90;3;9;;2;14;1;4;1;0;0;1;3;;;3;1;1;2;3;1;1;1;12;1;4;3;2;1;3;4;2;3;1;4;2;1;2;3;4;2;4;1;3;1;2;3;4;3;1;2;4;4;2;3;1;1;2;3;4;2;1;4;3;4;2;1;3;1;3;4;2;4;2;2;3;3;1;2;4;2;3;5;2;2;2;4;3;5;3;4;3;5;5;4;3;4;4;5;1;3;1;5;4;3;3;2;3;5;2;3;1;1;1;3;1;3;1;1;2;2;4;3;4;4;3;3;2;4;1;1;3;3;4;3;3;4;1;4;4;4;4;4;4;4;2;2;4;4;3;2;4;3;24;27;35;34;-11;-7;3;21
